Date,Open,High,Low,Close
2021-08-23 09:15:00+05:30,16592.25,16592.25,16558.0,16567.55
2021-08-23 09:16:00+05:30,16566.1,16576.8,16564.15,16566.0
2021-08-23 09:17:00+05:30,16565.35,16567.7,16558.55,16561.95
2021-08-23 09:18:00+05:30,16563.4,16564.75,16550.7,16552.9
2021-08-23 09:19:00+05:30,16552.15,16561.65,16551.1,16559.65
2021-08-23 09:20:00+05:30,16560.7,16566.5,16553.05,16556.1
2021-08-23 09:21:00+05:30,16557.05,16567.0,16555.35,16555.5
2021-08-23 09:22:00+05:30,16556.3,16558.5,16549.6,16549.6
2021-08-23 09:23:00+05:30,16549.25,16557.6,16548.55,16553.1
2021-08-23 09:24:00+05:30,16553.25,16555.85,16542.6,16550.75
2021-08-23 09:25:00+05:30,16550.25,16558.8,16544.95,16545.75
2021-08-23 09:26:00+05:30,16545.1,16555.45,16544.85,16555.45
2021-08-23 09:27:00+05:30,16555.4,16565.05,16555.4,16556.2
2021-08-23 09:28:00+05:30,16556.75,16564.75,16554.4,16564.25
2021-08-23 09:29:00+05:30,16564.15,16564.15,16549.8,16549.8
2021-08-23 09:30:00+05:30,16549.2,16553.35,16541.95,16542.3
2021-08-23 09:31:00+05:30,16538.7,16551.1,16538.7,16550.25
2021-08-23 09:32:00+05:30,16550.4,16561.1,16549.7,16560.25
2021-08-23 09:33:00+05:30,16559.45,16559.45,16548.9,16549.15
2021-08-23 09:34:00+05:30,16549.8,16559.55,16548.0,16557.55
2021-08-23 09:35:00+05:30,16557.95,16557.95,16550.0,16551.3
2021-08-23 09:36:00+05:30,16551.8,16553.5,16545.05,16545.7
2021-08-23 09:37:00+05:30,16544.85,16548.7,16541.3,16546.15
2021-08-23 09:38:00+05:30,16546.3,16546.3,16541.35,16543.6
2021-08-23 09:39:00+05:30,16543.35,16544.15,16533.7,16533.9
2021-08-23 09:40:00+05:30,16534.85,16541.25,16530.6,16530.6
2021-08-23 09:41:00+05:30,16530.4,16535.6,16528.35,16535.25
2021-08-23 09:42:00+05:30,16535.45,16536.2,16528.45,16535.35
2021-08-23 09:43:00+05:30,16535.75,16536.25,16532.15,16533.95
2021-08-23 09:44:00+05:30,16533.85,16534.05,16527.55,16531.7
2021-08-23 09:45:00+05:30,16532.15,16538.7,16530.1,16537.15
2021-08-23 09:46:00+05:30,16537.1,16538.05,16532.1,16536.45
2021-08-23 09:47:00+05:30,16537.05,16541.95,16536.7,16541.15
2021-08-23 09:48:00+05:30,16540.1,16550.0,16539.65,16548.05
2021-08-23 09:49:00+05:30,16547.55,16547.75,16541.15,16547.75
2021-08-23 09:50:00+05:30,16546.95,16548.75,16541.5,16544.0
2021-08-23 09:51:00+05:30,16542.35,16543.8,16538.3,16540.9
2021-08-23 09:52:00+05:30,16539.5,16540.3,16533.5,16535.9
2021-08-23 09:53:00+05:30,16536.55,16536.55,16518.0,16518.05
2021-08-23 09:54:00+05:30,16517.45,16517.45,16506.45,16506.45
2021-08-23 09:55:00+05:30,16505.05,16514.7,16499.9,16514.7
2021-08-23 09:56:00+05:30,16513.65,16521.75,16510.35,16516.65
2021-08-23 09:57:00+05:30,16516.45,16522.5,16508.55,16522.1
2021-08-23 09:58:00+05:30,16521.05,16523.25,16510.55,16511.4
2021-08-23 09:59:00+05:30,16511.45,16512.8,16498.3,16501.75
2021-08-23 10:00:00+05:30,16500.6,16501.0,16490.05,16499.15
2021-08-23 10:01:00+05:30,16497.85,16511.2,16496.85,16510.1
2021-08-23 10:02:00+05:30,16509.65,16513.2,16508.7,16512.15
2021-08-23 10:03:00+05:30,16511.8,16511.8,16499.4,16501.4
2021-08-23 10:04:00+05:30,16500.45,16517.15,16500.45,16517.15
2021-08-23 10:05:00+05:30,16517.35,16517.35,16509.65,16515.4
2021-08-23 10:06:00+05:30,16515.65,16520.0,16514.95,16519.1
2021-08-23 10:07:00+05:30,16519.65,16523.45,16517.15,16521.35
2021-08-23 10:08:00+05:30,16521.2,16524.75,16517.45,16520.75
2021-08-23 10:09:00+05:30,16520.35,16522.6,16513.75,16514.55
2021-08-23 10:10:00+05:30,16514.45,16519.25,16510.5,16517.55
2021-08-23 10:11:00+05:30,16516.7,16516.85,16509.05,16510.2
2021-08-23 10:12:00+05:30,16510.9,16511.85,16500.45,16500.55
2021-08-23 10:13:00+05:30,16501.45,16505.8,16500.35,16504.2
2021-08-23 10:14:00+05:30,16504.55,16508.0,16501.5,16501.6
